season,points_id,player_id,win_points,placement,match_id,location_name,nickname,cum_sum_placement,cum_sum_placement_season
2022/2023,202231410,4,94,4,31,"Victoria Bowling",Spinda,77,11
2022/2023,202232110,1,127,2,32,"Victoria Bowling",Pichy,85,9
2022/2023,202232210,2,101,4,32,"Victoria Bowling",Helcl,63,9
2022/2023,202232310,3,111,3,32,"Victoria Bowling",Vrbic,90,10
2022/2023,202232410,4,163,1,32,"Victoria Bowling",Spinda,78,12
2022/2023,202233110,1,106,4,33,"Victoria Bowling",Pichy,89,13
2022/2023,202233210,2,143,1,33,"Victoria Bowling",Helcl,64,10
2022/2023,202233310,3,135,2,33,"Victoria Bowling",Vrbic,92,12
2022/2023,202233410,4,113,3,33,"Victoria Bowling",Spinda,81,15
2022/2023,202234110,1,140,2,34,"Victoria Bowling",Pichy,91,15
2022/2023,202234210,2,119,4,34,"Victoria Bowling",Helcl,68,14
2022/2023,202234310,3,167,1,34,"Victoria Bowling",Vrbic,93,13
2022/2023,202234410,4,125,3,34,"Victoria Bowling",Spinda,84,18
2022/2023,202235110,1,106,4,35,"Victoria Bowling",Pichy,95,19
2022/2023,202235210,2,132,2,35,"Victoria Bowling",Helcl,70,16
2022/2023,202235310,3,160,1,35,"Victoria Bowling",Vrbic,94,14
2022/2023,202235410,4,107,3,35,"Victoria Bowling",Spinda,87,21
2022/2023,202236110,1,127,2,36,"Victoria Bowling",Pichy,97,21
2022/2023,202236210,2,172,1,36,"Victoria Bowling",Helcl,71,17
2022/2023,202236310,3,125,3,36,"Victoria Bowling",Vrbic,97,17
2022/2023,202236410,4,121,4,36,"Victoria Bowling",Spinda,91,25
2022/2023,202237110,1,125,3,37,"Bowling v továrně",Pichy,100,24
2022/2023,202237210,2,175,1,37,"Bowling v továrně",Helcl,72,18
2022/2023,202237310,3,135,2,37,"Bowling v továrně",Vrbic,99,19
2022/2023,202237410,4,108,4,37,"Bowling v továrně",Spinda,95,29
2022/2023,202238110,1,105,3,38,"Bowling v továrně",Pichy,103,27
2022/2023,202238210,2,122,1,38,"Bowling v továrně",Helcl,73,19
2022/2023,202238310,3,94,4,38,"Bowling v továrně",Vrbic,103,23
2022/2023,202238410,4,113,2,38,"Bowling v továrně",Spinda,97,31
2022/2023,202239110,1,96,4,39,"Victoria Bowling",Pichy,107,31
2022/2023,202239210,2,134,1,39,"Victoria Bowling",Helcl,74,20
2022/2023,202239310,3,108,2,39,"Victoria Bowling",Vrbic,105,25
2022/2023,202239410,4,105,3,39,"Victoria Bowling",Spinda,100,34
2022/2023,202240110,1,92,3,40,"Victoria Bowling",Pichy,110,34
2022/2023,202240210,2,140,1,40,"Victoria Bowling",Helcl,75,21
2022/2023,202240310,3,86,4,40,"Victoria Bowling",Vrbic,109,29
2022/2023,202240410,4,118,2,40,"Victoria Bowling",Spinda,102,36
2022/2023,202241110,1,74,4,41,"Victoria Bowling",Pichy,114,38
2022/2023,202241210,2,137,2,41,"Victoria Bowling",Helcl,77,23
2022/2023,202241310,3,104,3,41,"Victoria Bowling",Vrbic,112,32
2022/2023,202241410,4,145,1,41,"Victoria Bowling",Spinda,103,37
2022/2023,202242110,1,92,4,42,"Victoria Bowling",Pichy,118,42
2022/2023,202242210,2,181,1,42,"Victoria Bowling",Helcl,78,24
2022/2023,202242310,3,176,2,42,"Victoria Bowling",Vrbic,114,34
2022/2023,202242410,4,109,3,42,"Victoria Bowling",Spinda,106,40
2022/2023,202243110,1,124,3,43,"Victoria Bowling",Pichy,121,45
2022/2023,202243210,2,211,1,43,"Victoria Bowling",Helcl,79,25
2022/2023,202243310,3,130,2,43,"Victoria Bowling",Vrbic,116,36
2022/2023,202243410,4,118,4,43,"Victoria Bowling",Spinda,110,44
2022/2023,202244110,1,176,1,44,"Bowling Smíchov",Pichy,122,46
2022/2023,202244210,2,136,2,44,"Bowling Smíchov",Helcl,81,27
2022/2023,202244310,3,81,4,44,"Bowling Smíchov",Vrbic,120,40
2022/2023,202244410,4,109,3,44,"Bowling Smíchov",Spinda,113,47
2022/2023,202245110,1,104,3,45,"Bowling Smíchov",Pichy,125,49
2022/2023,202245210,2,95,4,45,"Bowling Smíchov",Helcl,85,31
2022/2023,202245310,3,116,2,45,"Bowling Smíchov",Vrbic,122,42
2022/2023,202245410,4,149,1,45,"Bowling Smíchov",Spinda,114,48
2022/2023,202246110,1,116,4,46,"Xbowling Strašnice",Pichy,129,53
2022/2023,202246210,2,143,2,46,"Xbowling Strašnice",Helcl,87,33
2022/2023,202246310,3,144,1,46,"Xbowling Strašnice",Vrbic,123,43
2022/2023,202246410,4,131,3,46,"Xbowling Strašnice",Spinda,117,51
2022/2023,202247110,1,111,3,47,"Xbowling Strašnice",Pichy,132,56
2022/2023,202247210,2,133,2,47,"Xbowling Strašnice",Helcl,89,35
2022/2023,202247310,3,163,1,47,"Xbowling Strašnice",Vrbic,124,44
2022/2023,202247410,4,109,4,47,"Xbowling Strašnice",Spinda,121,55
2022/2023,202248110,1,73,4,48,"Victoria Bowling",Pichy,136,60
2022/2023,202248210,2,124,2,48,"Victoria Bowling",Helcl,91,37
2022/2023,202248310,3,111,3,48,"Victoria Bowling",Vrbic,127,47
2022/2023,202248410,4,173,1,48,"Victoria Bowling",Spinda,122,56
2022/2023,202249110,1,105,4,49,"Victoria Bowling",Pichy,140,64
2022/2023,202249210,2,224,1,49,"Victoria Bowling",Helcl,92,38
2022/2023,202249310,3,141,3,49,"Victoria Bowling",Vrbic,130,50
2022/2023,202249410,4,148,2,49,"Victoria Bowling",Spinda,124,58
2022/2023,202350110,1,136,2,50,"Xbowling Žižkov",Pichy,142,66
2022/2023,202350210,2,149,1,50,"Xbowling Žižkov",Helcl,93,39
2022/2023,202350310,3,115,4,50,"Xbowling Žižkov",Vrbic,134,54
2022/2023,202350410,4,118,3,50,"Xbowling Žižkov",Spinda,127,61
2022/2023,202351110,1,105,3,51,"Xbowling Žižkov",Pichy,145,69
2022/2023,202351210,2,146,2,51,"Xbowling Žižkov",Helcl,95,41
2022/2023,202351310,3,149,1,51,"Xbowling Žižkov",Vrbic,135,55
2022/2023,202351410,4,95,4,51,"Xbowling Žižkov",Spinda,131,65
2022/2023,202352110,1,101,4,52,"Xbowling Žižkov",Pichy,149,73
2022/2023,202352210,2,129,1,52,"Xbowling Žižkov",Helcl,96,42
